Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,24,INDIA,40.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,HONG KONG,23.0,0.0,39
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,MALAYSIA,10.0,0.0,24
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,55,THAILAND,34.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,MALAYSIA,10.0,0.0,45
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,VIET NAM,23.0,0.0,36
KML,Travel Agency,Online,Value Plan,F,11,INDONESIA,33.0,12.54,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,61,SWITZERLAND,57.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,INDONESIA,10.0,0.0,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,SINGAPORE,16.0,0.0,43
C2B,Airlines,Online,Silver Plan,M,6,SINGAPORE,35.5,8.88,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,THAILAND,35.0,0.0,55
C2B,Airlines,Online,Bronze Plan,M,4,SINGAPORE,13.5,3.38,23
C2B,Airlines,Online,Bronze Plan,F,22,SINGAPORE,23.5,5.88,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,14,SINGAPORE,20.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,21,SINGAPORE,22.5,5.63,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,27,MYANMAR,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,"TAIWAN, PROVINCE OF CHINA",50.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,70,JAPAN,36.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,32,MALAYSIA,20.0,0.0,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,33,CHINA,29.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,UNITED ARAB EMIRATES,9.9,5.94,41
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,102,SINGAPORE,10.0,0.0,32
JZI,Airlines,Online,Basic Plan,M,5,MALAYSIA,18.0,6.3,41
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,30,SINGAPORE,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,54,SINGAPORE,16.0,4.0,39
KML,Travel Agency,Online,Value Plan,F,14,INDONESIA,33.0,12.54,48
JZI,Airlines,Online,Basic Plan,M,7,PHILIPPINES,18.0,6.3,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,62,"KOREA, REPUBLIC OF",0.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,16,MALAYSIA,19.8,11.88,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,SINGAPORE,11.0,0.0,54
C2B,Airlines,Online,Bronze Plan,M,23,SINGAPORE,69.5,17.38,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,CHINA,39.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,25,"KOREA, REPUBLIC OF",32.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,INDONESIA,11.0,0.0,49
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,42,SINGAPORE,39.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,70,SINGAPORE,1.29,0.36,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,INDIA,32.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,20,UNITED STATES,20.0,0.0,52
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,29,SRI LANKA,20.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,19,SINGAPORE,20.0,5.0,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,6,CHINA,39.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,101,MALAYSIA,13.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,28,"KOREA, REPUBLIC OF",19.8,11.88,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,79,JAPAN,48.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,18,INDIA,32.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,7,THAILAND,13.0,0.0,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,80,"KOREA, REPUBLIC OF",31.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,68,UNITED STATES,73.0,0.0,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,HONG KONG,22.0,0.0,36
TST,Travel Agency,Offline,Travel Cruise Protect,F,38,MALAYSIA,30.0,10.5,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,45,SINGAPORE,11.0,0.0,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,THAILAND,30.0,0.0,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,SINGAPORE,14.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,4,SINGAPORE,20.25,5.06,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,62,AUSTRALIA,9.9,5.94,45
RAB,Airlines,Online,Value Plan,Prefer not say,2,BRUNEI DARUSSALAM,15.0,6.0,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,JAPAN,80.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,10,AUSTRALIA,29.7,17.82,43
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,GERMANY,72.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,47,THAILAND,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,SINGAPORE,10.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,44,PHILIPPINES,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,38,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,JAPAN,20.0,0.0,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,39,INDIA,31.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,42,PHILIPPINES,37.0,12.95,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,MALAYSIA,17.0,0.0,28
C2B,Airlines,Online,Bronze Plan,F,55,SINGAPORE,94.5,23.63,24
C2B,Airlines,Online,Silver Plan,F,6,SINGAPORE,24.5,6.13,23
ART,Airlines,Online,24 Protect,F,31,VIET NAM,52.35,18.32,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,PHILIPPINES,10.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,49,SINGAPORE,82.55,20.64,26
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,21.0,5.25,43
JZI,Airlines,Online,Basic Plan,M,8,MALAYSIA,18.0,6.3,55
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,38,UNITED STATES,22.0,0.0,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,85,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,53,THAILAND,20.0,0.0,28
C2B,Airlines,Online,Gold Plan,F,14,SINGAPORE,73.0,18.25,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,THAILAND,20.0,0.0,40
C2B,Airlines,Online,Bronze Plan,F,20,SINGAPORE,33.5,8.38,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,16,INDONESIA,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,81,UNITED KINGDOM,90.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,21.0,5.25,26
JZI,Airlines,Online,Basic Plan,M,7,INDONESIA,22.0,7.7,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,60,JAPAN,50.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,7,INDONESIA,11.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,SINGAPORE,29.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,46,SINGAPORE,25.0,6.25,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,23,MALAYSIA,29.7,17.82,31
JZI,Airlines,Online,Basic Plan,F,97,PHILIPPINES,37.0,12.95,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,54,SINGAPORE,11.0,0.0,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,19,HONG KONG,58.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,1,THAILAND,20.0,0.0,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,49,SINGAPORE,19.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,SINGAPORE,19.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,75,INDONESIA,30.0,10.5,39
C2B,Airlines,Online,Bronze Plan,M,9,SINGAPORE,23.5,5.88,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,"TAIWAN, PROVINCE OF CHINA",27.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,26,JAPAN,40.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,40,FRANCE,82.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,THAILAND,12.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,31,VIET NAM,20.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,55,VIET NAM,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,GREECE,18.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,INDIA,39.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,40,CHINA,26.0,9.1,46
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,MALAYSIA,22.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,12,CHINA,36.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,23.5,5.88,24
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,72,NEW ZEALAND,10.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,2,AUSTRALIA,19.8,11.88,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,28,CHINA,51.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,MALAYSIA,10.0,0.0,23
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,22,AUSTRALIA,19.8,11.88,45
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,51,AUSTRALIA,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,SINGAPORE,10.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,19,THAILAND,30.0,10.5,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,52,THAILAND,35.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,14,PHILIPPINES,20.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,16,MALAYSIA,0.0,5.94,51
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,18,CHINA,37.0,0.0,53
C2B,Airlines,Online,Bronze Plan,F,58,SINGAPORE,27.0,6.75,30
JZI,Airlines,Online,Basic Plan,M,15,LAO PEOPLE'S DEMOCRATIC REPUBLIC,22.0,7.7,38
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,MONGOLIA,48.0,0.0,36
RAB,Airlines,Online,Value Plan,M,20,BRUNEI DARUSSALAM,23.0,9.2,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,30,"KOREA, REPUBLIC OF",73.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,23,SINGAPORE,16.0,4.0,26
C2B,Airlines,Online,Silver Plan,F,13,SINGAPORE,0.0,11.88,42
JZI,Airlines,Online,Basic Plan,M,6,MALAYSIA,18.0,6.3,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,29,GERMANY,94.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,35,MALAYSIA,19.8,11.88,54
JZI,Airlines,Online,Basic Plan,M,11,HONG KONG,26.0,9.1,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,48,UNITED STATES,80.0,0.0,47
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,61,"KOREA, REPUBLIC OF",43.0,0.0,36
RAB,Airlines,Online,Value Plan,M,6,BRUNEI DARUSSALAM,15.0,6.0,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,28,HONG KONG,17.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,26,"KOREA, REPUBLIC OF",29.7,17.82,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,76,FRANCE,86.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,31,SINGAPORE,51.0,12.75,37
JZI,Airlines,Online,Basic Plan,F,13,VIET NAM,22.0,7.7,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,32,"TAIWAN, PROVINCE OF CHINA",45.0,0.0,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,CAMBODIA,26.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,47,CHINA,38.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,13,VIET NAM,22.0,7.7,30
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,THAILAND,20.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,THAILAND,39.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,PHILIPPINES,30.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,HONG KONG,67.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,16,THAILAND,20.0,0.0,40
C2B,Airlines,Online,Silver Plan,F,48,SINGAPORE,39.0,9.75,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,SINGAPORE,10.0,0.0,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,MALDIVES,64.0,0.0,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,34,NEPAL,54.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,28,SINGAPORE,41.0,10.25,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,12,"KOREA, REPUBLIC OF",55.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,7,SINGAPORE,16.0,4.0,36
C2B,Airlines,Online,Silver Plan,M,3,SINGAPORE,19.5,4.88,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,MALAYSIA,11.0,0.0,25
JZI,Airlines,Online,Value Plan,M,6,CHINA,45.0,15.75,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,52,JAPAN,62.0,0.0,43
C2B,Airlines,Online,Silver Plan,F,3,SINGAPORE,15.0,3.75,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,11,THAILAND,28.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,34,SINGAPORE,20.0,0.0,28
JZI,Airlines,Online,Basic Plan,M,65,MYANMAR,33.0,11.55,29
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,MALAYSIA,10.0,0.0,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,11,MALAYSIA,22.0,0.0,46
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,12,"KOREA, REPUBLIC OF",46.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,88,"KOREA, REPUBLIC OF",26.0,9.1,55
KML,Travel Agency,Online,Value Plan,M,10,INDONESIA,33.0,12.54,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,7,MALAYSIA,20.0,0.0,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,28,MYANMAR,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,31,THAILAND,14.0,0.0,50
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,"TANZANIA, UNITED REPUBLIC OF",80.0,0.0,36
RAB,Airlines,Online,Value Plan,F,17,BRUNEI DARUSSALAM,15.0,6.0,50
JZI,Airlines,Online,Basic Plan,M,13,THAILAND,22.0,7.7,42
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,70,THAILAND,21.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,25,CHINA,35.0,12.25,38
C2B,Airlines,Online,Silver Plan,F,9,SINGAPORE,29.5,7.38,32
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,54,INDONESIA,22.0,0.0,26
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,54,MALAYSIA,0.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,40,UNITED STATES,96.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,DOMINICAN REPUBLIC,80.0,0.0,40
JZI,Airlines,Online,Basic Plan,F,67,HONG KONG,26.0,9.1,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,74,SPAIN,19.8,11.88,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,SINGAPORE,11.0,0.0,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,96,"TAIWAN, PROVINCE OF CHINA",32.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,39,HONG KONG,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,24,NORWAY,96.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,GERMANY,23.0,0.0,36
KML,Travel Agency,Online,Value Plan,F,20,INDONESIA,28.0,10.64,48
JZI,Airlines,Online,Basic Plan,F,20,CHINA,26.0,9.1,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,52,THAILAND,10.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,74,PHILIPPINES,31.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,25,MYANMAR,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,SINGAPORE,18.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,59,JAPAN,80.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,20,SINGAPORE,16.0,4.0,38
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,JAPAN,13.0,0.0,33
JZI,Airlines,Online,Basic Plan,F,13,HONG KONG,22.0,7.7,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,24,AUSTRALIA,29.7,17.82,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,THAILAND,17.0,0.0,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,79,ITALY,52.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,22,CHINA,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,42,SINGAPORE,10.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,CHINA,22.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,6,THAILAND,30.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,32,SINGAPORE,44.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,46,NETHERLANDS,13.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,38,MALAYSIA,20.0,0.0,24
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,8,SINGAPORE,20.0,0.0,36
ART,Airlines,Online,24 Protect,M,11,THAILAND,8.26,2.89,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,9,THAILAND,29.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,28,SINGAPORE,9.12,2.56,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,MYANMAR,12.0,0.0,35
JZI,Airlines,Online,Value Plan,M,9,JAPAN,58.0,20.3,52
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,CHINA,66.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,39,CHINA,36.0,0.0,35
JZI,Airlines,Online,Basic Plan,M,4,HONG KONG,26.0,9.1,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,97,MALAYSIA,10.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,9,MALAYSIA,18.0,6.3,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,11,BANGLADESH,10.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,43,JAPAN,39.6,23.76,44
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,39,CHINA,26.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,26,SWITZERLAND,14.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,13,HONG KONG,41.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,THAILAND,19.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,53,JAPAN,37.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,5,MALAYSIA,22.0,7.7,35
C2B,Airlines,Online,Gold Plan,M,7,SINGAPORE,82.8,20.7,32
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,VIET NAM,10.0,0.0,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,9,AUSTRALIA,29.7,17.82,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,18,INDONESIA,28.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,9,ITALY,29.7,17.82,35
JZI,Airlines,Online,Basic Plan,M,17,INDONESIA,22.0,7.7,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,86,CHINA,44.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,VIET NAM,20.0,0.0,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,25,SINGAPORE,32.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,HONG KONG,10.0,0.0,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,87,THAILAND,21.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,26,"KOREA, REPUBLIC OF",52.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,INDONESIA,10.0,0.0,54
RAB,Airlines,Online,Value Plan,M,13,BRUNEI DARUSSALAM,15.0,6.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,20,MALDIVES,72.0,0.0,36
RAB,Airlines,Online,Value Plan,M,3,BRUNEI DARUSSALAM,15.0,6.0,33
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,21,SINGAPORE,10.0,0.0,33
C2B,Airlines,Online,Silver Plan,M,4,SINGAPORE,24.05,6.01,39
C2B,Airlines,Online,Silver Plan,M,14,SINGAPORE,29.5,7.38,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,59,CHINA,18.0,0.0,36
RAB,Airlines,Online,Value Plan,F,16,BRUNEI DARUSSALAM,15.0,6.0,50
C2B,Airlines,Online,Bronze Plan,F,16,SINGAPORE,27.0,6.75,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,30,INDIA,38.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,1,SINGAPORE,23.0,0.0,36
JZI,Airlines,Online,Value Plan,F,12,JAPAN,45.0,15.75,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,17,LAO PEOPLE'S DEMOCRATIC REPUBLIC,26.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,41,SINGAPORE,23.5,5.88,45
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,25,UNITED STATES,80.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,SINGAPORE,48.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,87,THAILAND,19.0,0.0,29
JZI,Airlines,Online,Basic Plan,F,39,HONG KONG,26.0,9.1,54
C2B,Airlines,Online,Bronze Plan,F,19,SINGAPORE,69.5,17.38,32
C2B,Airlines,Online,Bronze Plan,F,7,SINGAPORE,18.0,4.5,52
SSI,Airlines,Online,Ticket Protector,Prefer not say,62,SINGAPORE,7.01,1.96,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,INDONESIA,44.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,VIET NAM,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,73,PHILIPPINES,13.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,CHINA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,24,SINGAPORE,10.0,0.0,25
SSI,Airlines,Online,Ticket Protector,Prefer not say,55,SINGAPORE,21.35,5.98,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,HONG KONG,41.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,7,MALAYSIA,19.8,11.88,27
C2B,Airlines,Online,Bronze Plan,F,34,SINGAPORE,20.0,5.0,27
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,2,SINGAPORE,29.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,VIET NAM,30.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,2,THAILAND,26.0,0.0,36
ART,Airlines,Online,24 Protect,M,25,PHILIPPINES,31.71,11.1,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,23,CHINA,30.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,8,HONG KONG,26.0,9.1,50
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,78,JAPAN,63.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,10,INDONESIA,18.0,6.3,41
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,BERMUDA,80.0,0.0,48
